date,temp_c,ah_g_m3
2025-02-03,6.5,9.81
2025-02-04,6.6,9.86
2025-02-05,6.8,9.91
2025-02-06,6.9,9.95
2025-02-07,7.1,10.0
2025-02-08,7.2,10.04
2025-02-09,7.4,10.09
2025-02-10,7.5,10.13
2025-02-11,7.7,10.17
2025-02-12,7.9,10.22
2025-02-13,8.0,10.26
2025-02-14,8.2,10.3
2025-02-15,8.4,10.33
2025-02-16,8.5,10.37
2025-02-17,8.7,10.41
2025-02-18,8.9,10.44
2025-02-19,9.1,10.48
2025-02-20,9.3,10.51
2025-02-21,9.4,10.54
2025-02-22,9.6,10.58
2025-02-23,9.8,10.61
2025-02-24,10.0,10.64
2025-02-25,10.2,10.66
2025-02-26,10.4,10.69
2025-02-27,10.6,10.72
2025-02-28,10.8,10.74
2025-03-01,10.9,10.77
2025-03-02,11.1,10.79
2025-03-03,11.3,10.81
2025-03-04,11.5,10.83
2025-03-05,11.7,10.85
2025-03-06,11.9,10.87
2025-03-07,12.1,10.88
2025-03-08,12.3,10.9
2025-03-09,12.5,10.91
2025-03-10,12.7,10.93
2025-03-11,12.9,10.94
2025-03-12,13.1,10.95
2025-03-13,13.4,10.96
2025-03-14,13.6,10.97
2025-03-15,13.8,10.98
2025-03-16,14.0,10.99
2025-03-17,14.2,10.99
2025-03-18,14.4,10.99
2025-03-19,14.6,11.0
2025-03-20,14.8,11.0
2025-03-21,15.0,11.0
2025-03-22,15.2,11.0
2025-03-23,15.4,11.0
2025-03-24,15.6,10.99
2025-03-25,15.8,10.99
2025-03-26,16.0,10.99
2025-03-27,16.2,10.98
2025-03-28,16.4,10.97
2025-03-29,16.6,10.96
2025-03-30,16.9,10.95
2025-03-31,17.1,10.94
2025-04-01,17.3,10.93
2025-04-02,17.5,10.91
2025-04-03,17.7,10.9
2025-04-04,17.9,10.88
2025-04-05,18.1,10.87
2025-04-06,18.3,10.85
2025-04-07,18.5,10.83
2025-04-08,18.7,10.81
2025-04-09,18.9,10.79
2025-04-10,19.1,10.77
2025-04-11,19.2,10.74
2025-04-12,19.4,10.72
2025-04-13,19.6,10.69
2025-04-14,19.8,10.66
2025-04-15,20.0,10.64
2025-04-16,20.2,10.61
2025-04-17,20.4,10.58
2025-04-18,20.6,10.54
2025-04-19,20.7,10.51
2025-04-20,20.9,10.48
2025-04-21,21.1,10.44
2025-04-22,21.3,10.41
2025-04-23,21.5,10.37
2025-04-24,21.6,10.33
2025-04-25,21.8,10.3
2025-04-26,22.0,10.26
2025-04-27,22.1,10.22
2025-04-28,22.3,10.17
2025-04-29,22.5,10.13
2025-04-30,22.6,10.09
2025-05-01,22.8,10.04
2025-05-02,22.9,10.0
2025-05-03,23.1,9.95
2025-05-04,23.2,9.91
2025-05-05,23.4,9.86
2025-05-06,23.5,9.81
2025-05-07,23.7,9.76
2025-05-08,23.8,9.71
2025-05-09,24.0,9.66
2025-05-10,24.1,9.61
2025-05-11,24.2,9.55
2025-05-12,24.4,9.5
2025-05-13,24.5,9.45
2025-05-14,24.6,9.39
2025-05-15,24.7,9.34
2025-05-16,24.9,9.28
2025-05-17,25.0,9.22
2025-05-18,25.1,9.17
2025-05-19,25.2,9.11
2025-05-20,25.3,9.05
2025-05-21,25.4,8.99
2025-05-22,25.5,8.93
2025-05-23,25.6,8.87
2025-05-24,25.7,8.81
2025-05-25,25.8,8.75
2025-05-26,25.9,8.68
2025-05-27,26.0,8.62
2025-05-28,26.1,8.56
2025-05-29,26.1,8.49
2025-05-30,26.2,8.43
2025-05-31,26.3,8.37
2025-06-01,26.3,8.3
2025-06-02,26.4,8.24
2025-06-03,26.5,8.17
2025-06-04,26.5,8.1
2025-06-05,26.6,8.04
2025-06-06,26.6,7.97
2025-06-07,26.7,7.9
2025-06-08,26.7,7.84
2025-06-09,26.8,7.77
2025-06-10,26.8,7.7
2025-06-11,26.8,7.63
2025-06-12,26.9,7.57
2025-06-13,26.9,7.5
2025-06-14,26.9,7.43
2025-06-15,27.0,7.36
2025-06-16,27.0,7.29
2025-06-17,27.0,7.22
2025-06-18,27.0,7.15
2025-06-19,27.0,7.09
2025-06-20,27.0,7.02
2025-06-21,27.0,6.95
2025-06-22,27.0,6.88
2025-06-23,27.0,6.81
2025-06-24,27.0,6.74
2025-06-25,27.0,6.67
2025-06-26,26.9,6.6
2025-06-27,26.9,6.54
2025-06-28,26.9,6.47
2025-06-29,26.9,6.4
2025-06-30,26.8,6.33
2025-07-01,26.8,6.26
2025-07-02,26.8,6.2
2025-07-03,26.7,6.13
2025-07-04,26.7,6.06
2025-07-05,26.6,6.0
2025-07-06,26.6,5.93
2025-07-07,26.5,5.86
2025-07-08,26.4,5.8
2025-07-09,26.4,5.73
2025-07-10,26.3,5.67
2025-07-11,26.2,5.6
2025-07-12,26.2,5.54
2025-07-13,26.1,5.47
2025-07-14,26.0,5.41
2025-07-15,25.9,5.35
2025-07-16,25.8,5.28
2025-07-17,25.8,5.22
2025-07-18,25.7,5.16
2025-07-19,25.6,5.1
2025-07-20,25.5,5.04
2025-07-21,25.4,4.98
2025-07-22,25.3,4.92
2025-07-23,25.1,4.86
2025-07-24,25.0,4.8
2025-07-25,24.9,4.75
2025-07-26,24.8,4.69
2025-07-27,24.7,4.63
2025-07-28,24.6,4.58
2025-07-29,24.4,4.53
2025-07-30,24.3,4.47
2025-07-31,24.2,4.42
2025-08-01,24.0,4.37
2025-08-02,23.9,4.31
2025-08-03,23.8,4.26
2025-08-04,23.6,4.21
2025-08-05,23.5,4.17
2025-08-06,23.3,4.12
2025-08-07,23.2,4.07
2025-08-08,23.0,4.02
2025-08-09,22.9,3.98
2025-08-10,22.7,3.93
2025-08-11,22.5,3.89
2025-08-12,22.4,3.85
2025-08-13,22.2,3.8
2025-08-14,22.1,3.76
2025-08-15,21.9,3.72
2025-08-16,21.7,3.68
2025-08-17,21.5,3.65
2025-08-18,21.4,3.61
2025-08-19,21.2,3.57
2025-08-20,21.0,3.54
2025-08-21,20.8,3.5
2025-08-22,20.7,3.47
2025-08-23,20.5,3.44
2025-08-24,20.3,3.41
2025-08-25,20.1,3.38
2025-08-26,19.9,3.35
2025-08-27,19.7,3.32
2025-08-28,19.5,3.3
2025-08-29,19.3,3.27
2025-08-30,19.1,3.25
2025-08-31,19.0,3.22
